 user_id,art_galleries,dance_clubs,juice_bars,restaurants,museums,resorts,picnic_spots,beaches,theaters,religious_institutions
 537,0.74,2.24,2.63,0.72,1.4,3.76,3.2,2.75,1.63,2.48
 538,0.64,1.04,2.35,0.51,1.42,1.66,3.19,2.66,2.21,2.5
 539,0.61,1.84,0.61,0.47,2.18,2.5,3.18,2.83,1.92,2.98
 540,0.96,1.16,0.36,0.42,0.22,2.8,3.18,2.83,1.98,2.64
 541,0.8,1.36,0.75,0.35,0.9,1.78,3.18,2.86,1.22,2.82
 542,1.44,0.28,0.18,0.34,0.26,1.74,3.17,2.64,0.9,2.88
 543,0.83,1.08,0.24,0.46,0.5,1.52,3.18,2.98,1.98,2.8
 544,0.7,1.56,0.96,0.4,1.18,1.88,3.17,2.77,1.06,3.34
 545,0.99,1.04,1.17,0.57,0.98,2.1,3.19,2.74,1.38,2.4
 546,0.86,2.96,0.24,0.41,0.72,1.62,3.18,2.98,1.54,2.98
 547,0.61,1.64,0.18,0.46,1.02,1.9,3.17,2.59,1.34,3.04
 548,0.96,1.48,0.21,0.58,0.42,1.28,3.18,2.95,1.98,2.66
 549,0.96,1.92,1.18,0.61,0.9,1.98,3.18,2.82,1.7,2.62
 550,0.96,1.32,0.34,0.48,0.82,1.7,3.17,2.95,1.34,3.34
 551,1.23,1,0.59,0.35,1.02,1.62,3.18,2.85,2.02,2.98
 552,1.06,1.04,2.5,0.56,1.78,2.8,3.2,2.72,2.18,2.54
 553,0.9,0.88,1.17,0.47,0.7,2.1,3.18,3.06,2.05,2.62
 554,1.63,1.2,0.67,0.75,1.02,2.2,3.18,2.85,1.34,2.42
 555,0.67,2.4,0.34,0.53,1.26,2.2,3.18,2.71,1.73,2.7
 556,0.7,0.88,2.66,0.5,1.04,1.46,3.19,2.88,1.54,2.4
 557,0.58,1.48,0.24,0.49,0.42,1.38,3.18,2.82,1.6,2.88
 558,0.96,0.88,0.22,0.53,0.42,1.8,3.18,2.74,2.46,2.78
 559,0.96,1,0.3,0.33,0.88,1.58,3.17,2.98,2.11,3.34
 560,1.06,0.8,0.29,0.35,1.3,2.12,3.18,3.03,1.7,2.94
 561,0.74,0.8,1.82,0.5,1.2,1.74,3.18,2.63,1.63,2.58
 562,0.93,1.6,3.11,0.49,0.96,2.08,3.2,2.61,1.5,2.38
 563,0.9,0.88,1.94,0.55,1.12,2.18,3.18,2.85,1.47,2.7
 564,0.7,1.52,1.46,0.5,0.94,1.7,3.18,2.64,0.96,2.94
 565,0.77,1.56,0.24,0.62,0.98,2.1,3.18,2.86,1.66,2.48
 566,0.99,1.08,1.41,0.24,1.52,2.08,3.18,2.74,1.22,2.94
 567,0.74,1.68,2.89,0.57,0.94,1.92,3.2,2.86,1.34,2.34
 568,0.7,1.6,2.36,0.48,1.18,1.73,3.2,2.98,1.31,2.42
 569,1.15,2.12,2.06,0.56,1.68,1.86,3.19,2.62,1.44,2.42
 570,0.58,1.2,0.32,0.43,1.04,2.54,3.18,2.95,1.18,3.26
 571,0.9,2.16,2.06,0.56,1.66,2.17,3.19,2.72,1.44,2.42
 572,0.74,1.36,0.21,0.29,0.62,1.48,3.17,2.98,1.18,3.38
 573,0.77,1.08,1.82,0.39,1.06,2.32,3.19,2.85,1.41,2.4
 574,0.67,1.76,0.3,0.41,0.26,1.58,3.18,2.67,2.24,3.42
 575,0.96,1.44,0.72,0.62,0.82,2.7,3.18,3.02,1.82,2.78
 576,0.74,1.28,1.36,0.66,1.26,2.48,3.18,2.83,1.28,2.64
 577,0.77,0.88,0.24,0.43,1.02,2.1,3.18,3.03,1.76,2.64
 578,0.64,1.48,0.24,0.56,0.74,1.72,3.18,2.8,1.66,2.88
 579,0.67,1.48,0.26,0.56,0.62,1.26,3.18,2.81,1.54,2.9
 580,0.86,0.96,0.74,1.12,0.96,1.7,3.18,2.8,1.57,2.56
 581,0.83,1.36,1.07,0.33,0.56,2.16,3.18,2.74,1.6,2.82
 582,0.64,1.36,1.52,0.47,1.02,2.68,3.18,2.79,1.41,2.7
 583,0.9,1.2,0.85,0.62,1.18,2.14,3.18,2.78,1.54,2.74
 584,0.67,1.6,0.19,0.45,1.02,1.42,3.18,2.86,1.73,2.88
 585,1.06,1.28,0.16,0.47,1.04,1.6,3.17,2.72,1.18,3.26
 586,1.47,1.04,0.43,0.48,0.74,1.1,3.17,3.01,1.63,3.2
 587,0.48,1.12,0.7,0.33,0.38,1.42,3.18,2.88,1.47,2.78
 588,0.96,1.6,0.29,0.32,0.62,1.62,3.18,2.79,1.25,2.9
 589,0.58,1.04,2.77,0.58,0.46,1.98,3.19,2.66,1.38,2.5
 590,0.93,2.08,0.27,0.39,1.1,2.58,3.18,2.89,1.89,2.78
 591,0.96,1.12,0.91,0.5,0.82,1.66,3.18,2.81,1.63,2.72
 592,0.83,1.32,0.18,0.31,1.22,1.5,3.17,2.98,1.38,3.04
 593,0.7,2.28,0.22,2.38,0.38,1.28,3.18,2.81,1.38,2.66
 594,0.83,1.96,1.33,0.54,1.44,2.54,3.18,2.87,1.28,2.74
 595,1.12,0.8,0.91,0.39,0.48,1.56,3.18,2.96,1.38,2.7
 596,1.76,0.6,1.57,0.35,0.5,1.66,3.18,2.98,1.5,2.72
 597,0.96,1.32,0.37,0.49,0.74,1.66,3.17,2.97,1.41,3.36
 598,0.77,1.08,0.22,0.65,0.88,2.02,3.18,2.86,1.79,2.54
 599,0.86,0.96,2.02,0.5,1.28,1.58,3.19,2.7,1.79,2.66
 600,1.12,2.96,0.16,0.5,0.48,1.76,3.18,2.78,1.76,2.72
 601,0.64,1.36,0.91,0.4,0.86,1.1,3.18,2.83,1.47,3.06
 602,1.15,0.8,0.26,3.1,0.64,1.86,3.18,2.77,2.02,2.62
 603,0.67,2.2,2.34,0.61,0.9,2.12,3.19,2.61,1.41,2.46
 604,0.77,1.48,0.29,0.35,0.16,0.82,3.17,2.94,1.09,3.26
 605,1.22,0.68,1.41,0.91,1.34,2.82,3.19,3.09,2.11,2.5
 606,0.64,1.2,0.94,0.39,0.94,2.02,3.19,3.09,1.28,2.26
 607,1.09,1,1.02,0.4,1.02,1.38,3.18,2.58,0.74,3.26
 608,1.31,1.36,0.75,0.48,0.5,1.7,3.18,2.89,1.34,2.78
 609,1.06,3.12,1.58,0.48,0.56,3.34,3.18,2.67,1.76,2.94
 610,0.7,1.32,0.34,0.59,0.4,1.02,3.18,2.85,1.31,2.82
 611,0.66,0.64,2.01,0.58,0.82,1.54,3.18,3.02,1.22,2.88
 612,0.74,1.04,1.3,0.62,1.26,2.42,3.18,2.78,1.57,2.5
 613,0.83,0.92,0.82,0.39,1.28,2.14,3.18,3.39,1.63,2.8
 614,0.67,1.28,0.26,0.51,1.02,1.26,3.17,2.87,3.01,3.3
 615,1.87,0.28,1.14,0.5,0.9,1.94,3.18,2.97,1.82,2.58
 616,0.54,1.16,0.38,0.33,1.38,1.58,3.17,2.7,1.06,3.44
 617,0.7,1.44,0.22,0.64,0.56,2.04,3.18,2.85,1.7,2.78
 618,1.82,1.56,0.62,0.39,0.58,1.62,3.18,2.93,2.14,3.42
 619,1.25,1.04,0.43,0.43,1.04,2.5,3.18,3.03,1.6,2.88
 620,0.96,1.32,0.56,0.38,0.66,1.54,3.17,2.85,1.41,3.12
 621,0.74,1.32,0.16,0.49,1.22,1.46,3.17,2.7,2.08,2.88
 622,0.8,1.8,1.25,0.55,1.38,2.5,3.18,2.85,1.7,2.42
 623,0.99,1.32,2.03,0.43,0.88,1.54,3.18,2.7,2.08,2.78
 624,0.74,0.96,0.62,0.51,0.96,1.84,3.18,2.8,2.05,3.02
 625,0.9,1.48,1.46,0.42,0.42,1.02,3.18,2.71,1.73,2.96
 626,1.66,0.24,0.43,0.59,0.8,1.06,3.18,2.95,1.38,2.48
 627,0.8,1.92,1.6,0.5,2.08,3.2,3.19,2.89,1.5,2.54
 628,0.75,1.08,1.88,0.34,0.9,1.58,3.18,2.73,1.6,2.5
 629,0.7,0.88,0.19,0.43,0.14,1.66,3.17,2.75,1.18,2.98
 630,0.58,1.44,0.21,0.41,1.06,1.56,3.18,2.9,3.04,2.54
 631,0.7,1.36,0.19,0.41,0.86,1.28,3.17,2.72,2.37,3.1
 632,2.05,1.2,0.19,0.34,0.48,1.02,3.17,2.81,1.92,3.44
 633,0.51,1.2,0.42,0.49,0.9,1.2,3.17,2.56,1.5,2.98
 634,0.61,1.2,2.05,0.61,1.3,3.06,3.19,2.79,1.57,2.42
 635,0.83,1.96,0.83,0.46,0.5,1.34,3.18,2.78,1.09,2.7
 636,0.8,1.12,1.6,0.63,1.5,1.74,3.18,2.86,1.12,2.9
 637,0.86,1.4,1.25,0.55,2.02,2.62,3.18,2.88,1.38,2.54
 638,1.38,0.96,1.07,0.66,1.06,2.18,3.18,2.85,1.31,2.64
 639,1.06,1.44,0.42,0.58,0.7,1.68,3.17,2.95,1.7,3.38
 640,0.51,1.96,0.21,0.42,0.72,1.38,3.18,2.87,1.82,2.82
 641,1.73,0.84,2.61,0.63,1.1,2.42,3.19,2.98,1.73,2.78
 642,0.54,2.96,0.38,0.61,1.62,2.42,3.18,3.22,2.43,2.8
 643,1.09,2.76,0.21,0.66,0.32,2.28,3.18,2.72,1.5,2.58
 644,0.74,1.56,0.24,0.61,0.7,1.42,3.18,2.82,1.5,2.96
 645,0.93,2.24,1.9,0.49,1.76,3.06,3.19,2.69,2.02,2.48
 646,0.61,1.56,0.19,0.41,0.86,1.14,3.18,2.81,1.6,2.8
 647,0.94,0.8,0.35,0.56,0.48,1.78,3.18,2.86,2.18,2.66
 648,0.64,1.52,0.21,0.39,0.98,1.38,3.16,2.77,1.66,3.38
 649,0.38,1.44,0.34,0.5,1.26,1.94,3.18,2.9,2.37,3.04
 650,1.09,1.96,1.17,0.51,1.62,2.74,3.18,2.74,1.28,2.4
 651,0.58,1.24,0.26,0.56,0.96,1.7,3.18,3.2,2.14,2.78
 652,0.8,1.32,0.34,0.24,0.46,1.02,3.17,2.9,1.44,3.28
 653,0.61,1.56,0.19,0.41,0.86,1.14,3.18,2.81,1.6,2.8
 654,0.7,1.32,0.32,0.51,0.82,1.34,3.18,3.04,1.76,3.04
 655,0.48,1.12,2.35,0.58,0.78,1.98,3.19,2.63,1.25,2.4
 656,0.74,1.56,2.27,0.66,1.3,2.56,3.19,2.65,1.54,2.4
 657,0.7,1.64,1.07,0.39,1.04,1.54,3.18,2.82,1.47,3.06
 658,1.34,0.76,1.1,0.47,1.66,2,3.18,2.87,1.18,2.66
 659,0.72,1.6,0.67,0.34,0.78,1.58,3.17,3.18,1.15,3.42
 660,0.8,1.8,0.37,0.51,1.06,1.58,3.17,2.81,1.54,3.18
 661,0.99,1.96,2.46,0.53,0.34,1.58,3.2,2.82,1.44,2.54
 662,1.09,0.64,1.12,0.42,0.7,1.54,3.18,3.07,1.44,2.66
 663,0.7,0.8,2.56,0.5,1.1,1.5,3.19,2.86,1.47,2.38
 664,0.93,0.92,0.18,0.5,1.02,2.4,3.17,2.91,1.09,3.18
 665,1.06,1.28,1.3,0.43,0.24,0.46,3.17,2.86,1.15,3.38
 666,1.5,1.16,2.37,0.27,0.58,1.9,3.18,2.78,1.54,3.2
 667,1.95,1.52,1.94,3.44,0.64,2.94,3.2,2.62,1.54,2.46
 668,1.25,1.04,1.58,0.67,0.88,2.42,3.18,2.7,1.34,2.9
 669,0.54,1.16,0.8,0.32,0.66,1.44,3.17,2.79,1.09,3.28
 670,0.51,1.48,0.21,0.41,1.2,1.66,3.17,2.83,1.63,3.3
 671,1.63,0.96,0.34,0.49,0.38,2.06,3.17,2.86,1.92,3.46
 672,0.77,1.6,2.46,0.59,2.16,2.64,3.19,2.85,2.21,2.5
 673,1.76,0.68,1.31,0.46,0.34,0.8,3.18,2.74,0.96,2.54
 674,0.86,1,0.29,0.47,0.24,1.46,3.18,2.74,1.73,2.4
 675,0.83,0.6,0.19,0.61,0.94,1.66,3.18,2.74,1.47,2.34
 676,0.58,1.96,0.18,0.38,0.74,1.08,3.18,2.66,2.18,2.78
 677,0.77,1.16,0.32,0.26,0.5,1.14,3.17,2.89,1.44,3.34
 678,2.26,0.4,2.08,0.5,1.18,2.86,3.19,2.75,1.6,2.42
 679,1.66,1.04,0.91,0.43,0.72,1.74,3.17,2.77,0.86,3.46
 680,0.8,1.56,0.34,0.41,0.8,1.66,3.17,2.91,1.38,3.26
 681,1.02,1.04,0.24,0.65,0.46,1.88,3.18,2.88,1.15,2.86
 682,0.96,1.16,0.45,0.29,0.98,1.42,3.18,2.94,2.02,3.02
 683,0.83,0.96,1.47,0.5,1.46,2.02,3.18,2.94,1.22,2.5
 684,0.96,1.96,0.26,0.51,0.82,1.34,3.18,3.02,1.89,2.72
 685,0.86,1.84,1.78,0.61,1.18,2.36,3.19,2.82,2.14,2.5
 686,0.9,1,2.06,0.62,0.9,2.52,3.19,2.89,1.38,2.4
 687,0.77,1.36,0.75,0.46,1.14,2.14,3.18,2.85,1.89,2.82
 688,1.02,1.4,0.22,0.57,0.22,2.18,3.18,2.88,1.34,2.86
 689,0.9,1.68,0.29,0.35,0.8,1.24,3.18,2.74,1.25,3.04
 690,0.7,1.28,0.94,0.62,1.06,2.02,3.18,2.85,1.82,2.88
 691,0.83,0.72,0.22,0.39,0.48,1.8,3.18,2.95,1.12,2.72
 692,0.77,1.48,0.98,0.31,1.02,1.5,3.17,2.83,1.09,3.3
 693,0.93,1.28,0.22,0.25,0.46,0.62,3.17,2.98,1.12,3.06
 694,0.77,1.88,0.21,0.49,0.48,1.74,3.18,2.83,1.44,2.94
 695,0.96,1.8,0.56,2.25,2.02,2.4,3.18,2.69,1.25,2.42
 696,0.7,1.32,0.27,0.47,1.78,2.18,3.18,2.95,1.79,2.78
 697,1.66,2.16,1.26,0.41,0.62,2.26,3.18,2.9,1.5,3.26
 698,1.34,0.8,0.22,0.69,0.4,2.24,3.18,2.72,1.28,2.5
 699,0.83,1.04,0.35,0.4,0.26,0.96,3.17,2.77,1.54,3.24
 700,0.74,1.96,1.25,0.4,0.58,1.26,3.18,2.7,1.09,3.2
 701,0.45,1.96,0.94,0.61,0.58,1.58,3.18,2.98,1.15,2.5
 702,0.7,1.96,1.66,0.55,1.38,2.6,3.19,2.94,1.41,2.72
 703,1.09,2.96,1.79,0.79,1.18,2,3.19,2.66,2.59,2.46
 704,0.67,1.96,0.29,0.43,1.18,2.02,3.17,2.95,1.41,3.36
 705,1.54,1.28,0.22,0.24,0.58,1.62,3.17,2.8,1.7,3.38
 706,0.64,1.52,0.16,0.42,0.56,0.98,3.18,2.86,1.18,2.94
 707,0.8,0.96,0.27,0.55,0.7,1.66,3.18,2.99,1.92,2.7
 708,0.83,0.76,1.31,0.58,1.42,2.5,3.18,2.81,1.66,2.58
 709,1.31,0.2,0.24,0.72,0.46,1.6,3.18,2.86,1.79,2.46
 710,0.7,1.44,0.88,0.33,0.8,1.4,3.18,2.85,1.5,3.14
 711,1.34,1.04,1.47,0.66,0.9,2.66,3.19,2.79,1.76,2.48
 712,0.54,1.28,0.26,0.61,1.26,2,3.18,2.93,2.43,2.56
 713,1.28,1.28,0.27,0.4,1.04,1.12,3.17,3.19,1.54,3.38
 714,1.02,1.24,0.27,0.41,1.22,2.6,3.18,2.7,1.54,2.8
 715,0.96,1.96,0.75,0.41,0.46,1.4,3.18,2.9,2.18,3.3
 716,1.06,1.64,0.32,0.31,0.38,1.06,3.17,2.9,2.02,3.3
 717,0.54,1.08,0.24,0.42,0.54,1.3,3.18,3.07,1.34,2.94
 718,0.7,2.12,2.42,0.59,0.58,1.82,3.19,2.62,1.12,2.5
 719,1.31,0.92,2.37,0.62,0.74,2.32,3.2,2.82,1.57,2.58
 720,1.02,0.92,2.59,0.63,0.96,2.34,3.19,2.9,1.73,2.42
 721,0.45,1.36,0.21,0.63,1.34,2.04,3.18,2.93,2.56,2.56
 722,0.99,1.12,0.22,0.4,0.74,1.42,3.16,2.66,1.28,3.52
 723,1.09,0.8,0.93,0.71,1.38,2.7,3.18,2.82,1.41,2.62
 724,1.22,0.56,0.62,0.69,0.72,1.5,3.18,2.73,1.09,2.46
 725,0.74,1.2,0.29,0.38,0.42,1.22,3.17,2.91,1.28,3.14
 726,0.8,2.04,1.28,0.54,1.62,2.52,3.18,2.86,1.57,2.46
 727,0.58,0.76,0.75,0.53,1.52,2.14,3.18,2.95,2.11,2.8
 728,0.99,1.36,1.18,0.67,0.96,2.32,3.19,3.07,1.98,2.96
 729,0.86,2.96,0.21,1.98,0.9,1.62,3.18,2.7,1.47,2.46
 730,1.63,1.16,1.81,0.39,1.62,2.98,3.19,2.79,1.79,2.54
 731,1.09,1.44,1.42,0.33,1.18,1.7,3.18,2.91,1.12,3.18
 732,0.61,1.24,0.26,0.71,0.82,2.3,3.18,2.98,1.41,3.12
 733,1.06,0.56,0.77,0.59,0.72,1.7,3.18,2.86,1.54,2.5
 734,0.61,1.4,2.16,0.43,1.3,1.58,3.18,2.66,2.02,2.86
 735,0.61,1.32,0.21,0.35,0.58,1.16,3.17,2.74,1.98,3.28
 736,0.7,1.08,0.26,0.65,1.2,1.3,3.18,2.93,1.41,2.64
 737,0.93,1.92,0.37,0.56,0.96,2.38,3.18,2.82,2.05,2.82
 738,0.8,1.12,1.78,0.64,1.2,2.34,3.19,3.04,1.38,2.54
 739,0.64,1.24,1.18,0.61,0.86,2.82,3.18,2.94,1.89,2.78
 740,1.18,1.36,0.51,0.32,1.12,2.16,3.17,2.67,1.06,3.3
 741,0.9,2.04,1.26,0.64,1.3,2.74,3.18,2.82,1.66,2.5
 742,0.86,0.72,1.23,0.55,1.2,2.48,3.18,2.87,1.5,2.4
 743,0.74,1,0.26,0.41,0.74,1.9,3.18,2.94,1.73,2.74
 744,1.09,1.2,0.29,0.51,1.18,1.9,3.18,2.66,1.44,2.88
 745,0.83,1.36,1.02,0.39,0.7,1.32,3.18,2.87,1.31,2.46
 746,0.82,2.6,0.19,0.9,0.46,1.82,3.18,2.85,1.34,2.5
 747,0.9,1.44,0.29,0.47,1.02,1.2,3.17,2.9,3.14,3.18
 748,0.96,2.84,0.21,1.83,1.18,1.98,3.18,2.74,1.34,2.38
 749,0.67,1.12,0.43,0.38,1.02,1.26,3.17,2.66,1.38,3.14
 750,0.99,1.04,0.77,0.42,0.96,1.98,3.18,2.86,1.31,2.78
 751,0.74,1.52,2.29,0.66,1.46,2.58,3.19,2.74,1.41,2.4
 752,1.02,1.52,0.76,0.38,0.62,1.26,3.17,3.04,1.34,3.14
 753,1.22,1.36,1.33,0.59,1.18,2.24,3.19,2.77,1.66,2.46
 754,1.12,1.04,1.09,0.39,0.96,1.6,3.18,3.01,1.28,3.06
 755,1.28,1.68,0.99,0.75,1.1,2.34,3.18,2.78,1.73,2.5
 756,1.28,1.28,0.96,0.39,1.34,1.7,3.18,3.12,1.86,3.34
 757,1.33,0.76,0.26,0.45,0.72,1.18,3.18,3.14,1.31,2.66
 758,0.7,1.12,0.35,0.46,0.64,1.66,3.18,2.83,1.54,2.8
 759,0.74,1.6,1.58,0.41,0.64,1.18,3.18,2.69,1.34,2.8
 760,1.7,0.96,0.13,0.33,0.78,1.14,3.18,2.81,1.02,2.42
 761,0.77,1.04,1.31,0.62,1.26,2.42,3.18,2.78,1.6,2.54
 762,0.99,1.48,0.99,0.59,0.34,2.18,3.18,2.88,1.25,2.34
 763,1.09,1.56,0.83,0.46,1.2,2.18,3.18,2.94,1.5,3.3
 764,1.02,1.28,1.33,0.49,0.86,1.4,3.18,2.88,1.5,2.98
 765,0.74,1.48,1.26,0.57,1.6,2,3.18,2.54,1.57,2.48
 766,1.02,1.32,1.58,0.37,0.58,1.2,3.18,2.75,1.38,3.22
 767,0.7,1.68,0.37,0.61,0.72,1.52,3.18,2.66,1.38,2.66
 768,1.02,0.96,0.99,0.55,0.82,3.04,3.18,2.87,1.98,2.5
 769,1.02,0.96,0.21,0.69,1.14,2.72,3.18,3.19,1.63,2.46
 770,1.34,0.56,1.71,0.53,0.48,1.26,3.18,2.86,1.06,2.86
 771,0.74,1.6,1.2,0.46,1.34,2.02,3.18,2.77,0.86,3.04
 772,0.64,1.4,0.98,0.29,0.26,0.54,3.18,2.48,1.66,2.9
 773,0.8,0.96,1.18,0.5,0.56,1.5,3.18,3.01,1.86,2.8
 774,0.99,1.2,0.14,0.51,0.42,1.46,3.18,2.62,1.25,2.7
 775,0.42,1.52,0.29,0.53,0.38,1.52,3.18,2.95,2.88,3.12
 776,1.41,0.72,1.23,1.1,0.74,2.8,3.19,3.17,2.3,2.46
 777,0.67,1.6,0.27,0.35,1.28,1.78,3.18,3.04,1.57,3.06
 778,0.74,1.68,1.18,0.5,1.5,2.52,3.18,2.86,1.54,2.48
 779,1.25,0.96,0.16,0.55,0.22,1.58,3.18,2.66,0.99,2.7
 780,0.74,1.36,0.21,0.29,0.62,1.48,3.17,2.98,1.18,3.38
 781,0.86,1.2,2.08,0.54,1.84,2.14,3.19,2.81,1.6,2.56
 782,0.8,1.28,1.95,0.47,1.14,1.7,3.18,2.87,1.7,2.78
 783,0.74,1.28,0.21,0.55,1.58,1.5,3.18,2.75,1.76,2.94
 784,1.01,1.08,0.25,0.3,0.4,0.94,3.17,2.99,1.28,3.18
 785,0.9,1.16,0.43,0.43,0.7,1.42,3.17,2.95,1.31,3.1
 786,0.8,0.84,2.49,0.45,0.74,2.12,3.19,3.1,2.05,2.56
 787,0.77,1.32,1.97,0.53,0.82,1.94,3.19,2.98,1.28,2.54
 788,0.51,1.96,0.19,0.63,0.48,2,3.18,2.87,1.5,2.98
 789,0.9,1.08,0.75,0.34,1.5,1.86,3.17,2.81,1.34,3.34
 790,0.74,1.24,1.71,0.43,1.58,2.48,3.19,2.78,1.76,2.54
 791,0.86,1.2,2.22,0.33,0.9,1.74,3.18,2.98,1.6,3.2
 792,0.83,1.32,2.86,0.56,1.1,2.6,3.2,2.72,1.41,2.42
 793,1.02,2,1.71,0.54,1.52,2.74,3.19,2.74,1.92,2.5
 794,1.82,1.16,0.35,0.46,0.4,1.02,3.18,2.95,2.37,2.72
 795,0.8,0.88,0.53,0.55,1.1,2.14,3.18,2.81,1.6,2.8
 796,2.14,1.92,2.02,0.59,1.52,2.96,3.19,2.82,1.66,2.48
 797,0.51,1.48,0.24,0.42,0.72,1.46,3.18,3.01,1.6,2.62
 798,0.83,1.28,0.21,0.55,0.62,1.02,3.17,2.63,1.47,3.2
 799,0.9,1.36,2.21,0.47,0.86,2.14,3.19,2.78,1.28,2.64
 800,0.67,1.44,2.9,0.53,0.86,1.78,3.2,2.9,1.54,2.34
 801,1.22,1.12,0.45,0.49,0.46,0.9,3.17,2.86,1.5,3.52
 802,1.09,1.04,1.65,0.47,1.36,2.22,3.18,2.74,1.12,3.1
 803,1.17,0.32,2.16,0.47,0.98,1.9,3.19,3.07,1.25,2.64
 804,1.31,0.04,0.98,0.55,0.54,0.94,3.18,2.83,1.34,2.66
 805,0.64,1.64,1.46,0.5,1.34,2.22,3.18,2.79,1.86,2.62
 806,0.8,1.96,2.69,0.55,1.34,3.04,3.2,2.7,1.66,2.46
 807,0.67,1.12,0.24,0.58,1.22,1.9,3.18,2.87,1.34,2.7
 808,0.8,1.04,2,0.56,1.4,1.6,3.19,2.74,1.44,2.5
 809,0.96,2,1.94,0.51,1.02,1.7,3.19,2.7,1.7,2.38
 810,1.15,2.08,1.62,0.57,0.78,1.86,3.19,2.73,1.28,2.5
 811,0.83,0.96,0.21,0.61,1.76,2,3.18,2.86,1.98,2.78
 812,0.99,1.2,1.6,0.53,1.3,2.82,3.18,3.33,1.76,3.18
 813,0.96,3.64,1.31,0.39,1.34,2.66,3.18,3.02,1.57,3.12
 814,1.25,0.96,0.77,0.42,1.2,1.84,3.18,2.87,1.38,2.98
 815,0.58,1.56,2.44,0.54,1.2,2.1,3.2,2.97,2.46,2.42
 816,0.93,1.2,1.46,0.58,0.66,2.22,3.18,2.88,1.79,3.02
 817,0.9,0.96,2.85,0.54,1.12,1.48,3.2,2.75,1.44,2.38
 818,0.58,1.32,1.28,0.58,0.42,1.74,3.19,2.91,1.41,2.32
 819,0.7,1,2.74,0.57,1.18,1.84,3.2,2.94,1.18,2.34
 820,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32
 821,0.58,1.52,1.3,0.56,1.18,2.34,3.18,2.94,1.73,2.62
 822,0.83,1.36,1.02,0.57,0.96,2.18,3.18,2.83,2.24,3.06
 823,0.64,1.56,0.16,0.47,0.98,2.06,3.17,2.74,1.38,3.18
